,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1987,Spain,"Berry and cherry aromas are surprisingly sturdy and clean. Freshness is maintained on the palate, which is honest enough to offer modest tannic bite. Lightly spiced plum and raspberry flavors change little on an easy finish.",Flirty Bird,85,4,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Felix Solis 2013 Flirty Bird Syrah (Vino de la Tierra de Castilla),Syrah,Felix Solis
20484,US,"Fruity, soft and rather sweet, this wine smells and tastes like apple and pear juice. It has low acidity, medium body and a sugary finish.",,85,4,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,Dancing Coyote 2015 White (Clarksburg),White Blend,Dancing Coyote
29553,Argentina,"Crimson in color but also translucent, with a candied, slightly green nose. Overall this is a simple quaffer with no excess weight and reasonably good flavors of berry and plum. Bland on the finish, but for $4 who's caring about finish?",Red,84,4,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Broke Ass 2009 Red Malbec-Syrah (Mendoza),Malbec-Syrah,Broke Ass
31530,US,"Packaged in a cute yellow recyclable Tetrapak, this easy Chard is sweet in pineapple juice and green apple flavors, balanced with crisp acidity.",,84,4,California,California,California Other,,,Bandit NV Chardonnay (California),Chardonnay,Bandit
59507,US,"Sweet and fruity, this canned wine feels soft and syrupy, with sugary pear as the primary flavor on the palate. It's a basic white wine in a convenient package.",Unoaked,83,4,California,California,California Other,Jim Gordon,@gordone_cellars,Pam's Cuties NV Unoaked Chardonnay (California),Chardonnay,Pam's Cuties
61768,Spain,"This opens with standard cherry and berry aromas before transitioning to a juicy palate with red berry, plum, herb and grass notes. It finishes a little hot and aggressive, but for $4 who's complaining?",,84,4,Levante,Yecla,,Michael Schachner,@wineschach,Terrenal 2010 Cabernet Sauvignon (Yecla),Cabernet Sauvignon,Terrenal
64590,US,"There's a lot going on in this Merlot, which is likeable now for its rich blackberry, cherry, cranberry, cola and spice flavors. It's dry and balanced.",,86,4,California,California,California Other,,,Bandit NV Merlot (California),Merlot,Bandit
110255,US,"A good everyday Merlot, dry and rich in tannins, with pleasant cherry, cocoa, licorice, herb and spice flavors.",,84,4,California,California,California Other,,,Bandit NV Merlot (California),Merlot,Bandit
112919,Spain,"Nice on the nose, this has a leafy note and a mellow red-berry aroma. Bouncy and rubbery feeling, it has easygoing flavors of raspberry and plum. It's candied and rubbery tasting on the finish, but good overall.",Estate Bottled,84,4,Levante,Yecla,,Michael Schachner,@wineschach,Terrenal 2010 Estate Bottled Tempranillo (Yecla),Tempranillo,Terrenal
117303,Spain,"Tropical fruit and citrus aromas aren't bad, but the palate is heavy. The flavor profile only offers soap and grassy white-fruit flavors, while a light, flowery finish falls flat.",Flirty Bird,82,4,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Felix Solis 2012 Flirty Bird White (Vino de la Tierra de Castilla),White Blend,Felix Solis
126096,Romania,"Notes of sun-dried hay and green flower highlight the nose and palate of this fresh, easy-quaffing wine. Concentrated tangerine and pineapple flavors are brisk and tasty.",UnWineD,86,4,Viile Timisului,,,Anna Lee C. Iijima,,Cramele Recas 2011 UnWineD Pinot Grigio (Viile Timisului),Pinot Grigio,Cramele Recas
2780,Portugal,"This feels very ripe, perhaps overripe, with its seemingly sweet flavor of black fruit juice and its soft structure. It's appealing and does have some tannins, but it is not for aging.",Morgado da Canita,84,5,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2009 Morgado da Canita Red (Alentejano),Portuguese Red,Herdade dos Machados
3167,Italy,"Packaged in a pocket-friendly 187-ml bottle, this is fragrant and simple, with tonic, creamy foam and bright aromas of peach, honeydew and jasmine.",Mini,86,5,Veneto,Prosecco,,,,Anna Spinato NV Mini  (Prosecco),Glera,Anna Spinato
3950,Portugal,"On the dry side, with caramel and strawberry flavors, this is an attractive, bright rosé, as fresh as they come.",Escolha,83,5,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2010 Escolha Rosé (Vinho Verde),Rosé,Adega Cooperativa Ponte de Barca
5789,France,"This is a jammy and fruit-forward selection, with direct aromas and flavors of red cherry, berry and plum that are lifted by a hint of menthol. The smooth, easygoing palate offers light tannins and fleshy fruit flavors, followed by a clean but fleeting finish.",,83,5,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Belle Made For You NV Cabernet Sauvignon (Vin de France),Cabernet Sauvignon,Belle Made For You
5801,France,"This blend of 70% Grenache and 30% Carignan is smooth and easy to drink, with friendly aromas and flavors of red cherry and raspberry that are kissed by a hint of mentholated character. The tannins and low and the finish is short; drink up.",,83,5,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Belle Made For You NV Red (Vin de France),Red Blend,Belle Made For You
7605,Chile,"Dusty, peppery aromas carry little richness, but in the mouth things turn more fruity. You get cherry and plum, but also a salty edge. The texture is smooth and solid enough, but the finish is disproportionately buttery, salty and mildly vegetal.",Gato Negro,83,5,Central Valley,,,Michael Schachner,@wineschach,San Pedro 2002 Gato Negro Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,San Pedro
8428,US,"This wine has a deep-gold color, attractive baking-spice and buttered popcorn aromas, appealing apple and pear flavors and medium body. The texture is soft and easy and the acidity tastes low.",Organic Grapes,85,5,California,California,California Other,Jim Gordon,@gordone_cellars,Earth's Harvest 2014 Organic Grapes Chardonnay (California),Chardonnay,Earth's Harvest
10697,US,"This wine's intense grapey, jammy aromas lead to very fruity and blackberry jam, melted butter and strawberry syrup flavors. It's medium bodied and sweet.",,84,5,California,California,California Other,Jim Gordon,@gordone_cellars,Mancan NV Red (California),Red Blend,Mancan
22200,US,"A very nice everyday wine, bone dry and savory in acidity. Shows polished flavors of lemongrass, vanilla, cinnamon pepper and wildflowers. Puts everything else at this price to shame.",Twin Valley,85,5,California,California,California Other,,,Gallo Family Vineyards NV Twin Valley Pinot Grigio (California),Pinot Grigio,Gallo Family Vineyards
23437,Argentina,"Candied plum and red berry aromas smell like red licorice. Flavors are raisiny, with sourness and astringency.",Estate Bottled,80,5,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Terrenal 2013 Estate Bottled Malbec (Mendoza),Malbec,Terrenal
24592,Chile,"More than decent; this is good SB with no bells and whistles but lots of straight-ahead competence. The nose is dusty and plump, while the palate has roundness, weight and likable citrus, green melon and other common, fresh flavors. Sometimes the basics are more than enough; this is a casein point.",Reserva,87,5,Aconcagua Valley,,,Michael Schachner,@wineschach,In Situ 2008 Reserva Sauvignon Blanc (Aconcagua Valley),Sauvignon Blanc,In Situ
24883,Portugal,"This is a fruity, fresh, forward wine that has delicious red berry fruitiness and soft tannins. It's bright and smooth, the structure just lightly supporting the fruit. It's ready to drink.",Xairel,85,5,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2012 Xairel Red (Tejo),Portuguese Red,Adega Cooperativa do Cartaxo
